model,loss_fn,train_dir,val_dir,epochs,es_patience,label_smoothing,grad_clip_norm,scheduler_factor,scheduler_patience,num_workers,input_size,batch_size,lr,weight_decay,hidden_sizes,dropout,HFlip,VFlip,RBContrast,count_params,num_classes,train_samples,val_samples,best_epoch,best_train_loss,best_train_accuracy,best_train_macro_f1,best_val_loss,best_val_accuracy,best_val_macro_f1,best_val_balanced_accuracy,trial_id
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,64,64,0.0001,0.001,"(1024, 512)",0.35,0.5,0.5,0.3,13116425,9,679,165,55,0.9084136702797629,0.7363770250368189,0.7411772087420659,1.352020502090454,0.6303030303030303,0.6402939254508959,0.6401154401154401,53
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,64,64,0.0003,1e-05,"(512, 256)",0.35,0.5,0.0,0.3,6427145,9,679,165,42,0.8719453107226979,0.7511045655375552,0.7524857223421327,1.29751455783844,0.6181818181818182,0.6236721097668018,0.629004329004329,47
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,64,0.0003,1e-05,"(1024, 512)",0.5,0.5,0.0,0.5,28845065,9,679,165,33,1.089881029996005,0.6450662739322534,0.6496990093860462,1.3036182721455891,0.6121212121212121,0.6219867457616025,0.6234487734487735,36
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,64,32,3e-05,1e-05,"(512, 256)",0.35,0.5,0.5,0.3,6427145,9,679,165,32,1.1512456861409275,0.6023564064801178,0.6069220394776226,1.197237620751063,0.6060606060606061,0.6204107228225237,0.6202741702741703,13
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,64,64,0.0001,1e-05,"(512, 256)",0.2,0.5,0.5,0.3,6427145,9,679,165,39,0.8820101022720337,0.7407952871870398,0.7452156199496079,1.2566908796628316,0.6121212121212121,0.619831411294826,0.6189033189033188,46
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,32,0.0001,1e-05,"(1024, 512)",0.2,0.5,0.0,0.3,28845065,9,679,165,16,1.0040289082310416,0.7039764359351989,0.7091233168556081,1.2257848381996155,0.6121212121212121,0.6184823091221131,0.6236652236652236,32
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,64,0.0001,0.0001,"(1024, 512)",0.35,0.5,0.5,0.5,28845065,9,679,165,41,1.0445101044394753,0.6568483063328424,0.6587264444478093,1.3392313321431477,0.6,0.6173082198147388,0.6125541125541125,51
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,64,64,0.0003,0.0001,"(512, 256)",0.35,0.5,0.5,0.5,6427145,9,679,165,37,1.025769986889579,0.6612665684830633,0.6642055080272682,1.3119823535283406,0.6,0.6158187348109828,0.6101731601731601,8
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,64,0.0003,0.001,"(1024, 512, 256)",0.35,0.5,0.0,0.5,28974601,9,679,165,27,1.164515343579379,0.5773195876288659,0.5777002131385057,1.3129256963729858,0.6060606060606061,0.6149008986310573,0.6157287157287157,59
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,64,64,0.0003,0.001,"(1024, 512, 256)",0.5,0.5,0.0,0.3,13245961,9,679,165,44,1.1452055085789075,0.5979381443298969,0.6036315462204642,1.3527146180470784,0.6060606060606061,0.6134342224794106,0.6133477633477633,54
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,32,0.0003,0.001,"(1024, 512, 256)",0.35,0.5,0.0,0.5,28974601,9,679,165,22,1.1301389905539425,0.6023564064801178,0.6017884382406742,1.2192165007193883,0.6060606060606061,0.613190167312031,0.6157287157287157,12
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,32,3e-05,1e-05,"(1024, 512, 256)",0.2,0.5,0.0,0.5,28974601,9,679,165,37,0.8317048685117201,0.7746686303387335,0.7762238494808362,1.2742376923561096,0.6,0.611246192624546,0.6123376623376623,11
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,32,0.0001,1e-05,"(1024, 512, 256)",0.35,0.5,0.5,0.5,28974601,9,679,165,41,1.1496481543237513,0.614138438880707,0.6137980919489919,1.2700448234875996,0.6060606060606061,0.6106441118247992,0.6157287157287157,34
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,64,32,3e-05,0.001,"(1024, 512)",0.2,0.5,0.5,0.5,13116425,9,679,165,24,0.9456234845248136,0.7142857142857143,0.7161531679849066,1.2235990564028423,0.6181818181818182,0.6106388504143188,0.6244588744588744,15
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,64,64,0.0001,1e-05,"(1024, 512, 256)",0.2,0.5,0.5,0.3,13245961,9,679,165,37,0.9545287544077093,0.6995581737849779,0.6981698668162298,1.3081895112991333,0.6,0.6091997870450405,0.6123376623376623,27
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,64,64,0.0001,0.001,"(1024, 512)",0.35,0.5,0.0,0.3,13116425,9,679,165,24,0.9768408591097052,0.7010309278350515,0.7055261539267987,1.316549022992452,0.593939393939394,0.6072789252443814,0.6046176046176046,50
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,64,64,0.0001,0.0001,"(1024, 512, 256)",0.35,0.5,0.5,0.3,13245961,9,679,165,32,1.266521778973666,0.5552282768777614,0.5562351730128255,1.3313624064127605,0.593939393939394,0.6061375021389694,0.606998556998557,6
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,32,0.0001,0.0001,"(512, 256)",0.2,0.5,0.5,0.5,14291465,9,679,165,26,0.994331725619056,0.6715758468335787,0.6730309366185332,1.2131239672501881,0.6,0.6054704837207946,0.6101731601731601,4
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,64,3e-05,0.0001,"(1024, 512, 256)",0.2,0.5,0.0,0.3,28974601,9,679,165,34,0.8728102933276783,0.7407952871870398,0.7455283673713811,1.3324652910232544,0.6060606060606061,0.6053945388707276,0.6178932178932179,58
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,64,0.0001,0.001,"(512, 256)",0.2,0.5,0.5,0.3,14291465,9,679,165,23,1.042230638590726,0.6774668630338734,0.679699620452202,1.3083558877309163,0.6,0.6050439501515542,0.6077922077922078,29
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,64,0.0001,0.001,"(1024, 512, 256)",0.2,0.5,0.5,0.5,28974601,9,679,165,36,0.999235830523751,0.6686303387334315,0.6673822237442742,1.3248817125956218,0.593939393939394,0.6023663889666815,0.6046176046176046,9
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,32,3e-05,1e-05,"(1024, 512, 256)",0.35,0.5,0.0,0.3,28974601,9,679,165,33,1.1620010489767247,0.6362297496318114,0.6350627180861698,1.2707398335138957,0.593939393939394,0.6022901542429678,0.6046176046176046,52
